#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 92.0 and 138.0 and y between 210.0 and 245.0 and z between 82.0 and 123.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:36:35.198 CET
#QUERYTIME 247 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
122.412766,213.25577,112.6273,22076,12.480718181928763
108.2217,217.97221,119.58006,16986,12.366889695242204
129.445,238.8849,97.33187,16801,12.362133601983956
127.93044,215.39362,83.23856,16569,12.356094722416648
116.78352,225.17444,119.27859,15501,12.327158613255383
127.20734,211.23581,107.09867,14342,12.293408953020894
92.52617,240.25792,100.19448,12438,12.23154857907265
97.72319,238.3408,88.545334,12259,12.225252394390266
92.28041,242.47765,89.67511,11787,12.208202091942882
94.12099,239.87686,87.7352,10712,12.166669858186001
118.99858,219.29507,82.14502,10532,12.159308447624749
116.10053,219.09453,120.89164,7790,12.028335345921628
97.45103,244.59244,98.14461,7764,12.026884471305468
94.95826,238.37718,86.089905,7639,12.019834664035763
124.442825,237.8414,101.40243,7264,11.997974085263289
128.7316,214.49161,82.46182,6604,11.956605393509854
128.9291,210.72815,107.560326,6265,11.933719067405823
124.66412,220.7335,116.80975,6224,11.930867572701331
104.72198,211.09381,84.42056,6162,11.926519927480014
106.69468,235.08058,83.768906,5706,11.893130093936044
125.043106,213.14291,114.51903,5302,11.861237998463244
131.7928,232.99538,97.19295,5107,11.844963990353392
93.86904,240.92856,89.37476,5019,11.837415444856886
98.21683,237.39287,86.94831,4984,11.834376198717928
98.000206,244.12807,95.714386,4719,11.810648464912198
106.397644,235.26894,82.19403,4706,11.809449959300407
98.92642,236.63168,87.22496,4661,11.80527719359742
126.93594,215.35039,82.25919,4613,11.800781667295979
137.33049,222.96716,83.14437,4500,11.790010567224037
119.51069,214.19664,98.829666,4473,11.787396688414454
127.75649,220.12804,113.354515,4274,11.767632956530093
114.18384,218.02165,117.62838,4204,11.760460949787667
119.12817,223.06425,115.811195,4167,11.756621674935491
117.558464,219.92014,115.82144,4091,11.748627547592388
128.31404,213.15932,88.93999,4076,11.74703251900758
98.11338,244.05475,94.99982,4065,11.745858337327382
113.20052,237.19237,118.52567,4048,11.744038601112965
116.54152,211.97551,109.08392,3882,11.725853673037289
127.87987,211.29602,107.15029,3838,11.72090316172292
127.66943,228.92523,100.44649,3837,11.720790008265718
101.68387,218.145,121.635254,3750,11.710829588896855
120.97902,210.72264,94.57659,3733,11.708855814918374
115.22362,214.34242,83.84901,3714,11.706640126749212
95.50746,241.34023,93.76781,3554,11.687515590717238
101.1649,216.30687,117.216545,3483,11.678751389072954
94.500084,239.21188,86.79603,3437,11.672977568610472
129.14952,215.97183,84.34585,3382,11.665971976709454
122.76834,220.41826,115.002426,3342,11.660804797007266
119.5463,210.67007,119.97098,3237,11.646940633582958
121.80321,224.73726,118.12371,3195,11.641268810623224
122.63449,244.90617,101.18389,3152,11.635384225743422
135.89899,238.2087,92.48694,3145,11.63441881785621
92.24475,244.35365,93.627396,3124,11.631508719933835
95.34514,237.73677,85.09736,3060,11.622519686286816
98.44469,237.37903,87.449425,3045,11.620385926605255
95.51458,237.99954,82.04361,3000,11.61391893889851
129.10638,220.37657,113.36796,2967,11.609116087115376
107.20475,236.67708,83.91601,2865,11.593922630935033
98.92718,235.28262,86.22419,2853,11.592100098272063
134.44403,210.55167,107.76112,2763,11.57817947903824
100.89447,218.87846,118.44184,2750,11.576130478719099
97.5531,244.19382,97.28238,2725,11.572165026729909
133.88246,244.97575,88.86164,2706,11.569125679702662
129.8166,221.2207,87.20164,2658,11.561353072150482
93.03633,243.34401,97.80595,2647,11.559552358613761
130.77937,239.76826,98.75749,2643,11.558895683825767
133.41478,243.41835,90.42191,2576,11.547743941308198
92.5739,239.56079,102.148026,2576,11.547743941308198
116.72564,220.88782,119.708145,2490,11.532997566826984
127.03045,228.90793,100.39802,2480,11.53125021707987
116.95624,211.8079,120.21225,2445,11.525077232373276
128.7245,215.46518,83.754364,2425,11.52150943282749
95.12732,213.74638,97.44135,2385,11.514286030976345
134.43623,231.95029,97.994415,2355,11.508789551746254
119.27278,225.06943,117.10298,2351,11.508051386007477
93.16259,241.5305,89.43957,2341,11.506199177258262
113.69405,217.88031,116.34653,2340,11.506013649884506
126.996994,213.17336,90.01344,2338,11.505642357199829
128.43121,210.4429,108.0998,2299,11.498336751098522
100.5753,232.03581,85.07345,2271,11.493015885597337
99.054634,227.49895,92.82479,2244,11.487821087705568
108.49737,219.95312,102.50016,2224,11.483932323133315
103.560036,210.13289,114.91248,2221,11.4833461898557
124.79636,236.83705,103.37307,2216,11.482367586585115
103.47068,241.23186,92.9402,2213,11.481779336262665
129.48386,216.8046,85.91263,2209,11.480993761003619
109.66302,218.09721,119.9334,2194,11.478035227519934
110.933975,218.31975,103.93584,2176,11.474456677789405
121.991776,225.47174,107.270035,2153,11.469842636061522
127.43876,220.04674,112.55048,2143,11.467819643015298
118.0194,225.76637,117.481926,2136,11.466398989715161
98.28079,244.41232,94.7198,2132,11.465585068605433
92.54561,240.0837,103.4033,2124,11.463952684775466
128.02066,219.35223,113.29573,2115,11.462108882818224
103.43521,221.0938,119.14337,2103,11.45963669255521
127.13075,219.81262,112.89495,2099,11.458810036205335
119.70012,212.06053,122.1477,2092,11.45735950364463
118.14542,210.90611,109.234856,2086,11.456112372099335
101.71764,218.39053,119.59635,2057,11.450031904110956
132.69804,234.00581,96.900894,2057,11.450031904110956
111.91683,218.49686,121.58829,2032,11.444722248768693
94.25056,241.01534,90.01719,2014,11.440857127569178
127.28148,218.98749,84.3234,1988,11.435215081635393
137.89261,220.60136,83.13098,1971,11.431484389394173
109.01935,221.37636,96.51489,1967,11.430602289018744
122.97226,229.05876,104.0274,1952,11.427278316802921
127.67113,213.53358,102.439026,1948,11.426387623114813
92.672424,240.37941,102.96661,1937,11.423927098935037
111.519196,217.45082,121.970085,1934,11.423254079317626
131.99655,223.93683,88.88008,1927,11.421679596380292
117.90511,242.3483,106.38963,1919,11.419873166058938
137.44699,221.97762,82.0864,1915,11.41896713895572
123.77335,220.17917,114.89383,1914,11.41874032975166
124.45663,219.55667,114.27421,1913,11.418513402035165
122.06528,225.08261,107.36978,1912,11.41828638284158
126.609985,236.67311,117.052055,1912,11.41828638284158
129.8361,220.64812,113.73415,1905,11.416693753462939
102.66641,220.40147,91.2429,1884,11.411878866203223
134.5311,211.41002,107.993515,1879,11.410724956057713
124.37984,223.69234,88.41138,1872,11.409104302626982
119.90097,225.172,117.071434,1865,11.407477578756025
135.00278,231.48346,98.36006,1864,11.407244687450458
114.67042,218.21266,118.72204,1862,11.40677855772735
98.92803,242.98335,94.26969,1843,11.402323291090795
120.89043,238.60312,115.692055,1823,11.397585482822873
120.72628,222.16823,115.00336,1821,11.39710883542269
129.52644,211.05013,105.977165,1816,11.395913207489308
119.84732,225.65369,107.56923,1799,11.391829248789747
124.31462,226.68436,118.875404,1794,11.390620742556125
130.97215,222.98895,108.139336,1788,11.38916607619625
129.75082,210.87067,107.88385,1787,11.388923152548559
121.68458,222.4918,116.826004,1785,11.388436926324585
100.60494,217.818,95.574936,1779,11.386974914508933
111.28086,217.58249,103.98885,1770,11.384770851964328
126.64161,219.76093,113.435936,1769,11.384525456656872
119.65568,223.8253,121.4922,1763,11.383050195277551
119.169235,242.85585,103.72892,1757,11.38156990547495
113.33036,237.04553,118.86754,1748,11.379339981993143
118.13817,241.57294,106.40627,1748,11.379339981993143
117.074486,222.21426,119.221924,1738,11.37684874950478
96.89772,227.22021,91.204315,1735,11.376096779802175
99.35463,235.54332,87.22412,1722,11.372831015368535
117.42433,217.17848,121.47755,1715,11.37106232976094
117.053696,242.54532,102.261505,1714,11.37080906269951
135.62103,239.79153,88.487656,1708,11.369286381226397
127.872826,220.4123,112.22197,1695,11.365966934525352
97.24103,221.56328,113.92407,1677,11.3613311389277
129.60912,216.54436,84.94064,1664,11.357951991693879
113.01887,220.26318,97.79045,1660,11.356906954270595
119.38312,210.75749,120.49125,1650,11.354281338851402
107.380554,217.26746,119.41103,1646,11.353227420578277
118.585106,237.61812,120.9767,1644,11.352699516587613
121.584045,212.02843,96.55057,1639,11.351376863163955
93.51398,243.59262,97.51726,1638,11.351111880113304
133.78236,232.40614,97.6354,1632,11.349518418465605
119.185356,213.28694,84.027565,1629,11.348719473874096
137.22888,235.43379,98.3506,1626,11.347919088740934
114.848465,236.69121,120.6684,1619,11.346045724219795
122.32534,243.66963,103.86973,1619,11.346045724219795
106.63964,243.56544,107.30657,1605,11.342272635504472
96.785675,238.8175,104.632675,1592,11.338741278521779
97.83812,211.1715,82.16471,1575,11.334079607282513
96.938805,244.934,100.745026,1571,11.3329734264648
118.91987,211.82541,83.48832,1569,11.33242027058693
127.90086,228.34161,121.243774,1564,11.331034323821624
101.68173,227.02293,85.91376,1562,11.330478724269856
112.00729,218.27252,122.32147,1559,11.329643939975687
118.643295,238.36674,122.71831,1558,11.329365321587444
98.83543,241.99025,94.083336,1548,11.326569329417689
127.226295,218.76663,83.93691,1544,11.325445879555774
136.4398,241.19342,90.0533,1544,11.325445879555774
97.66126,240.5003,93.696594,1544,11.325445879555774
105.170845,232.57993,103.975174,1537,11.323472796701738
127.6455,234.83572,115.413284,1525,11.32006730539155
121.79418,223.18523,117.913826,1515,11.317210607680096
107.68343,220.92955,102.62452,1507,11.314911656348857
126.90971,219.77702,113.17364,1506,11.314623421248275
121.14679,211.96646,96.38076,1499,11.312600436013566
105.83952,243.29128,114.19043,1498,11.31231066238669
111.16377,214.04845,115.01823,1490,11.309983430284408
120.07674,224.47673,109.69741,1488,11.309400183208577
108.147026,244.20921,112.71935,1487,11.30910826567487
128.90465,213.8272,103.74959,1484,11.308231368915955
127.59851,219.73691,110.7323,1473,11.305000788352105
125.245926,228.01749,115.93424,1471,11.304410806600945
116.698524,212.18607,118.53089,1424,11.29030847214851
116.49166,238.98871,91.215034,1423,11.290003430981816
121.22339,225.32294,117.510445,1422,11.289698175408715
114.8178,220.75385,84.30395,1414,11.287248449314237
103.382935,211.42567,84.128876,1413,11.286941250485969
114.38721,222.00923,83.22885,1411,11.286326200167295
137.84665,215.05334,111.349365,1411,11.286326200167295
136.61108,240.46318,89.8633,1409,11.285708066282197
94.29838,240.28471,88.63289,1409,11.285708066282197
124.39166,226.97798,118.64263,1403,11.283855067594997
115.16795,212.55865,100.60721,1402,11.283545458192169
121.62534,229.20206,119.829895,1400,11.282925576435229
96.0412,241.45267,94.41635,1396,11.281683189460015
92.119774,242.76265,89.92269,1389,11.279500395292125
99.0532,234.1221,86.764084,1384,11.277934523011217
137.14194,235.38873,97.32694,1384,11.277934523011217
105.8601,219.36,121.39827,1380,11.276677754964494
113.81174,236.49284,110.26298,1380,11.276677754964494
133.90048,212.8895,120.22024,1367,11.272565593887654
92.420006,243.30902,97.85972,1367,11.272565593887654
128.60338,214.4345,84.25753,1364,11.271611635009462
124.824005,236.28958,100.602264,1361,11.270655537923876
120.54184,216.8425,113.2033,1350,11.267131806557462
108.03999,215.83716,95.62063,1349,11.266810038090354
130.13414,243.19473,83.980484,1349,11.266810038090354
125.7459,211.60599,107.68052,1328,11.259997394854212
98.63726,237.02913,87.29537,1324,11.258685160768986
97.99442,216.588,85.55543,1319,11.257042264819255
120.94704,229.00632,119.90595,1318,11.256712930639784
93.357414,237.72551,102.77318,1315,11.25572346649006
92.38347,242.30028,89.06837,1315,11.25572346649006
126.75502,218.37312,116.27747,1312,11.25473170329054
127.750465,230.9556,100.95181,1297,11.249738748106225
122.779594,215.44672,112.5747,1296,11.249403826538263
96.24087,239.07945,89.55189,1288,11.246715195475453
137.97057,224.66977,82.54488,1285,11.245700156642856
132.45024,224.31464,89.15271,1285,11.245700156642856
136.8579,215.37944,111.66621,1281,11.244346408223599
122.77567,227.80696,105.20191,1281,11.244346408223599
104.52258,239.81519,101.476265,1271,11.24094343923314
118.25576,240.40385,107.25768,1271,11.24094343923314
126.42257,223.1765,97.82032,1269,11.240259617599481
