#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 46.0 and 92.0 and y between 105.0 and 140.0 and z between 205.0 and 246.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:21:14.113 CET
#QUERYTIME 321 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
62.82608,115.0329,233.76796,23808,12.513521247709946
54.80668,124.604416,231.10428,20828,12.455446349768355
47.58639,112.28609,230.11453,18940,12.414177529289631
61.333603,119.30063,232.92683,16537,12.355254177739528
59.85288,114.7895,233.02724,15264,12.320466179144177
59.72981,120.209274,205.45348,13380,12.263254869403095
50.88854,136.36545,215.33862,13163,12.256152252038904
66.21758,113.61996,225.69127,11864,12.21102973690715
54.664654,135.59497,212.35184,11182,12.185318307501253
69.97633,113.915634,209.23955,11171,12.184890074427987
89.34879,114.37102,218.83391,10958,12.176528222006297
63.425274,118.00833,230.36375,10510,12.158401699589342
61.94449,135.05872,236.42455,10457,12.156203749142023
51.4224,135.04755,214.62788,10080,12.14025971314811
52.11757,131.65239,236.22131,9410,12.110387652251429
82.07372,129.51727,231.3708,9349,12.107562709734351
88.49818,129.04062,239.12003,9022,12.092099260069233
60.565666,113.66892,214.42484,8508,12.066624043926234
58.11718,134.68637,207.4117,8181,12.049605598908304
77.16627,123.41133,223.58852,7940,12.0366169270632
65.09755,117.813835,231.4714,7896,12.034207195818494
51.863743,134.9638,216.7192,7770,12.027219108249836
61.017902,114.13362,232.83714,7770,12.027219108249836
75.44284,113.543465,206.67801,7542,12.01428526805973
68.80164,115.12428,224.35039,7473,12.010291479128785
90.11383,114.9798,218.5842,7386,12.00520625877739
74.519806,112.58386,245.70369,7333,12.002079619311631
90.31869,117.20552,218.00148,7276,11.998690799210289
62.962704,118.32096,212.10385,7246,11.996896318731407
49.61974,109.20868,230.56482,6921,11.976966829579807
60.346027,110.974655,230.7687,6772,11.96751521156763
72.367546,110.55166,237.79065,6465,11.947366573883171
59.16906,107.35547,235.08287,6456,11.946761677175163
68.11499,109.1695,236.13188,6348,11.93943488968486
75.47039,122.855255,220.54343,6283,11.934965320147796
69.64406,112.42831,232.55563,6171,11.927153663726806
74.20952,122.2288,220.24532,6139,11.924895665339887
61.75798,113.69226,222.32588,6115,11.923194793886738
51.010166,116.38724,225.26413,6024,11.916682895359767
64.14445,116.15983,206.94107,6003,11.91516653009042
64.27797,117.678024,230.51794,5988,11.914080166288016
61.779137,138.26614,237.76804,5898,11.907502740616717
61.743576,138.68259,240.37747,5882,11.906323177174706
55.17483,109.20252,234.14981,5813,11.901198305050839
59.129536,120.05505,233.41179,5735,11.895331385783127
91.213684,110.124405,217.81058,5617,11.886302851442796
50.646595,137.16771,218.37112,5467,11.874547324285166
60.46739,120.87663,205.6998,5409,11.869914887275021
60.686295,121.96511,228.77007,5333,11.863770027260356
87.88642,114.80681,218.40648,5308,11.861729112204447
52.415405,116.34527,215.54207,5221,11.85455197155598
60.705715,112.81444,234.45636,5198,11.852634275723863
50.03288,114.91964,220.06065,5184,11.85146321684199
62.57125,121.079605,227.94862,5175,11.850708716640215
57.79249,124.72403,214.73985,5141,11.8478458521322
61.772305,112.18832,235.92395,5123,11.846322275921564
59.555027,106.81762,232.57904,5050,11.840089764275561
59.705215,113.27482,228.18251,5026,11.83802061786307
61.8834,110.13305,240.30338,5015,11.837069240881267
58.169,132.21693,206.88922,5008,11.836462739786823
51.00012,126.61863,237.8575,4928,11.829469089653443
48.574413,134.18665,217.50555,4926,11.829292825723511
53.814346,126.71279,206.13397,4843,11.8219129214062
89.29244,139.97316,243.6853,4822,11.820025331437213
53.641796,112.07887,231.68413,4793,11.817405380877823
84.460594,108.79194,241.89703,4756,11.81403973603463
57.774628,114.29296,228.99644,4711,11.809911046557195
69.91107,111.34789,232.46236,4708,11.809634461775115
61.078823,119.842766,232.3513,4676,11.80667235286381
69.35005,121.253944,243.80347,4672,11.80630074247713
80.932655,125.23866,242.48685,4605,11.800027965535156
83.91546,125.11668,216.35782,4600,11.799556259417047
91.44274,111.133514,217.84966,4489,11.788947848482506
80.07887,123.45726,222.13687,4462,11.7863275463205
47.586617,106.443184,229.77545,4451,11.785255765725767
59.535545,106.00726,232.0496,4432,11.783397582249096
51.089005,116.86075,213.3394,4410,11.781236804942997
64.082466,117.08599,208.21996,4407,11.78094128878195
66.40321,114.41974,227.3985,4401,11.78034969971897
55.1414,122.19942,229.81763,4372,11.777478295580813
56.86371,119.88683,208.2339,4359,11.776185238048257
84.23072,118.89626,231.28076,4290,11.76925542762161
64.34926,111.27601,237.9913,4283,11.76854634526427
58.221874,105.65076,235.47266,4253,11.765493450640902
71.05845,112.5895,235.79347,4193,11.759323308349744
51.530403,136.46245,217.25066,4179,11.757870300464138
50.751827,109.95179,230.94682,4174,11.757350480174683
59.404602,129.76627,237.99178,4148,11.75463725901358
68.03475,108.69716,237.84317,4067,11.746072692615547
79.6474,108.76749,239.67593,4065,11.745858337327382
65.179535,112.41886,236.57951,4024,11.741455752169001
75.975716,114.878365,238.63478,3966,11.735150798792446
67.498116,114.01616,228.78943,3938,11.732073545639357
46.646584,113.03554,229.705,3927,11.730858951263379
55.607304,122.13184,229.43681,3884,11.72607732818788
65.0526,123.41886,227.43079,3873,11.724845823883042
64.175735,117.554596,235.64717,3863,11.723723238522789
90.17548,111.10385,220.58618,3861,11.723498367444895
50.674744,134.91927,215.1142,3852,11.72248419536629
59.949722,120.09913,223.90407,3846,11.72180732960661
79.70491,110.05994,239.66736,3787,11.715093727717166
86.57976,136.34389,238.10367,3777,11.713944763376992
60.446648,132.32518,219.26848,3757,11.711639389138249
67.9239,114.05664,212.3102,3729,11.70839030884303
80.27856,125.340744,242.5184,3690,11.703824248482741
78.37115,123.264565,221.1946,3661,11.700398233174894
55.52315,113.42323,230.93488,3655,11.699685145413865
79.87249,107.592354,239.79814,3643,11.698257186729723
50.861954,128.72198,242.98746,3628,11.69646560326719
56.955173,127.8426,221.82443,3620,11.695507074857876
55.55781,117.015144,206.38083,3603,11.693462253232015
62.440582,132.51822,210.11394,3582,11.690924028586316
46.74331,128.4612,213.11914,3512,11.682352689958675
63.147034,118.50853,235.23392,3506,11.681610240605105
60.767895,120.32054,223.2248,3502,11.681114548517055
64.163345,121.6484,237.588,3484,11.678876041487998
71.395355,113.13395,236.78448,3476,11.677877848819625
77.00767,115.55175,236.39325,3446,11.674113102035886
62.970844,120.163124,235.97874,3446,11.674113102035886
73.02331,122.594025,228.21533,3418,11.67057053323064
62.825817,115.13065,216.47299,3386,11.666485215903649
61.83058,118.75554,233.18875,3378,11.665458099518204
74.98108,115.66451,245.6131,3372,11.664686141848703
75.95126,118.270424,205.16527,3349,11.66171332533727
55.385864,116.39424,213.92456,3313,11.657019506941463
61.291847,124.96256,221.5999,3310,11.656626126433311
88.867836,106.32064,220.60416,3258,11.649749469538078
57.490093,117.36807,214.57878,3255,11.649349477309137
68.25675,122.24526,213.8496,3236,11.64680646808056
51.59244,126.64282,240.51485,3189,11.640452627578394
67.86316,109.370285,231.25255,3165,11.63717138671908
70.87906,107.011604,235.34235,3159,11.636347459475253
84.408295,129.5775,209.02869,3154,11.635659629927876
73.267006,123.6698,242.97192,3134,11.632897432230259
59.07269,120.00294,205.37733,3121,11.631091528360539
84.77067,131.41647,211.79756,3089,11.626616469689928
61.466835,110.80256,238.81877,3082,11.62563034030768
61.265984,110.8967,234.84607,3076,11.624784168910608
78.04653,113.37373,238.82933,3065,11.623228593597073
52.096878,116.91947,220.59422,3051,11.621240702526103
71.26536,108.86149,231.16098,3026,11.617667022562376
53.565327,121.11565,228.5057,3022,11.617092648872967
