#ID_survey field_ID i j k
0 0 0 0 0
0 42 1 0 0
0 6 0 1 0
0 48 1 1 0
1 84 2 0 0
1 126 3 0 0
1 90 2 1 0
1 132 3 1 0
2 24 0 4 0
2 66 1 4 0
2 30 0 5 0
2 72 1 5 0
3 96 2 2 0
3 138 3 2 0
3 102 2 3 0
3 144 3 3 0
4 114 2 5 0
4 156 3 5 0
4 120 2 6 0
4 162 3 6 0
5 37 0 6 1
5 79 1 6 1
5 31 0 5 1
5 73 1 5 1
6 121 2 6 1
6 163 3 6 1
6 115 2 5 1
6 157 3 5 1
7 13 0 2 1
7 55 1 2 1
7 7 0 1 1
7 49 1 1 1
8 109 2 4 1
8 151 3 4 1
8 103 2 3 1
8 145 3 3 1
9 133 3 1 1
9 175 4 1 1
9 127 3 0 1
9 169 4 0 1
10 170 4 0 2
10 128 3 0 2
10 176 4 1 2
10 134 3 1 2
11 86 2 0 2
11 44 1 0 2
11 92 2 1 2
11 50 1 1 2
12 194 4 4 2
12 152 3 4 2
12 200 4 5 2
12 158 3 5 2
13 98 2 2 2
13 56 1 2 2
13 104 2 3 2
13 62 1 3 2
14 74 1 5 2
14 32 0 5 2
14 80 1 6 2
14 38 0 6 2
