#ID_survey field_ID i j k
0 84 2 0 0
0 129 3 0 3
0 144 3 3 0
0 115 2 5 1
0 88 2 0 4
0 52 1 1 4
0 16 0 2 4
0 4 0 0 4
0 111 2 4 3
0 30 0 5 0
0 93 2 1 3
0 117 2 5 3
1 15 0 2 3
1 72 1 5 0
1 110 2 4 2
1 144 3 3 0
1 25 0 4 1
1 98 2 2 2
1 102 2 3 0
1 49 1 1 1
1 1 0 0 1
1 112 2 4 4
1 160 3 5 4
1 45 1 0 3
2 114 2 5 0
2 45 1 0 3
2 13 0 2 1
2 0 0 0 0
2 86 2 0 2
2 133 3 1 1
2 28 0 4 4
2 100 2 2 4
2 109 2 4 1
2 136 3 1 4
2 42 1 0 0
2 64 1 3 4
3 102 2 3 0
3 63 1 3 3
3 138 3 2 0
3 92 2 1 2
3 146 3 3 2
3 18 0 3 0
3 27 0 4 3
3 130 3 0 4
3 3 0 0 3
3 55 1 2 1
3 151 3 4 1
3 50 1 1 2
4 92 2 1 2
4 34 0 5 4
4 86 2 0 2
4 91 2 1 1
4 75 1 5 3
4 61 1 3 1
4 55 1 2 1
4 145 3 3 1
4 106 2 3 4
4 130 3 0 4
4 51 1 1 3
4 74 1 5 2
5 2 0 0 2
5 70 1 4 4
5 69 1 4 3
5 43 1 0 1
5 116 2 5 2
5 138 3 2 0
5 24 0 4 0
5 15 0 2 3
5 92 2 1 2
5 97 2 2 1
5 111 2 4 3
5 91 2 1 1
6 16 0 2 4
6 19 0 3 1
6 98 2 2 2
6 33 0 5 3
6 49 1 1 1
6 127 3 0 1
6 157 3 5 1
6 104 2 3 2
6 62 1 3 2
6 108 2 4 0
6 141 3 2 3
6 14 0 2 2
7 134 3 1 2
7 33 0 5 3
7 98 2 2 2
7 22 0 3 4
7 133 3 1 1
7 69 1 4 3
7 126 3 0 0
7 63 1 3 3
7 56 1 2 2
7 62 1 3 2
7 61 1 3 1
7 141 3 2 3
8 100 2 2 4
8 90 2 1 0
8 2 0 0 2
8 13 0 2 1
8 8 0 1 2
8 138 3 2 0
8 142 3 2 4
8 57 1 2 3
8 134 3 1 2
8 67 1 4 1
8 94 2 1 4
8 22 0 3 4
9 3 0 0 3
9 60 1 3 0
9 127 3 0 1
9 147 3 3 3
9 76 1 5 4
9 22 0 3 4
9 9 0 1 3
9 56 1 2 2
9 115 2 5 1
9 87 2 0 3
9 87 2 0 3
9 85 2 0 1
10 22 0 3 4
10 3 0 0 3
10 8 0 1 2
10 97 2 2 1
10 18 0 3 0
10 12 0 2 0
10 85 2 0 1
10 57 1 2 3
10 135 3 1 3
10 93 2 1 3
10 148 3 3 4
10 60 1 3 0
11 22 0 3 4
11 20 0 3 2
11 100 2 2 4
11 27 0 4 3
11 126 3 0 0
11 106 2 3 4
11 1 0 0 1
11 128 3 0 2
11 3 0 0 3
11 110 2 4 2
11 66 1 4 0
11 74 1 5 2
12 126 3 0 0
12 117 2 5 3
12 102 2 3 0
12 110 2 4 2
12 20 0 3 2
12 21 0 3 3
12 132 3 1 0
12 69 1 4 3
12 151 3 4 1
12 135 3 1 3
12 99 2 2 3
12 115 2 5 1
13 96 2 2 0
13 14 0 2 2
13 104 2 3 2
13 67 1 4 1
13 75 1 5 3
13 147 3 3 3
13 134 3 1 2
13 118 2 5 4
13 92 2 1 2
13 98 2 2 2
13 109 2 4 1
13 27 0 4 3
14 145 3 3 1
14 26 0 4 2
14 100 2 2 4
14 92 2 1 2
14 108 2 4 0
14 159 3 5 3
14 99 2 2 3
14 26 0 4 2
14 66 1 4 0
14 32 0 5 2
14 99 2 2 3
14 106 2 3 4
