#m_min m_max f_occ survey_ID p_value
10.000000 10.100000 0.100000 0 6.558396e-02
10.000000 10.100000 0.100000 1 6.558396e-02
10.000000 10.100000 0.100000 2 6.558396e-02
10.000000 10.100000 0.100000 3 4.333089e-01
10.000000 10.100000 0.100000 4 7.864172e-01
10.000000 10.100000 0.100000 5 4.596444e-03
10.000000 10.100000 0.100000 6 1.861968e-01
10.000000 10.100000 0.100000 7 4.333089e-01
10.000000 10.100000 0.100000 8 4.333089e-01
10.000000 10.100000 0.100000 9 1.861968e-01
10.000000 10.100000 0.100000 10 6.558396e-02
10.000000 10.100000 0.100000 11 1.861968e-01
10.000000 10.100000 0.100000 12 1.861968e-01
10.000000 10.100000 0.100000 13 4.333089e-01
10.000000 10.100000 0.100000 14 7.864172e-01
10.000000 10.100000 0.200000 0 2.053107e-05
10.000000 10.100000 0.200000 1 2.053107e-05
10.000000 10.100000 0.200000 2 2.053107e-05
10.000000 10.100000 0.200000 3 2.053107e-05
10.000000 10.100000 0.200000 4 2.053107e-05
10.000000 10.100000 0.200000 5 2.312927e-06
10.000000 10.100000 0.200000 6 2.312927e-06
10.000000 10.100000 0.200000 7 2.312927e-06
10.000000 10.100000 0.200000 8 2.053107e-05
10.000000 10.100000 0.200000 9 2.053107e-05
10.000000 10.100000 0.200000 10 2.053107e-05
10.000000 10.100000 0.200000 11 2.312927e-06
10.000000 10.100000 0.200000 12 2.053107e-05
10.000000 10.100000 0.200000 13 2.053107e-05
10.000000 10.100000 0.200000 14 2.053107e-05
10.000000 10.100000 0.300000 0 2.312927e-06
10.000000 10.100000 0.300000 1 2.312927e-06
10.000000 10.100000 0.300000 2 2.312927e-06
10.000000 10.100000 0.300000 3 2.312927e-06
10.000000 10.100000 0.300000 4 2.312927e-06
10.000000 10.100000 0.300000 5 2.312927e-06
10.000000 10.100000 0.300000 6 2.312927e-06
10.000000 10.100000 0.300000 7 2.312927e-06
10.000000 10.100000 0.300000 8 2.312927e-06
10.000000 10.100000 0.300000 9 2.312927e-06
10.000000 10.100000 0.300000 10 2.312927e-06
10.000000 10.100000 0.300000 11 2.312927e-06
10.000000 10.100000 0.300000 12 2.312927e-06
10.000000 10.100000 0.300000 13 2.312927e-06
10.000000 10.100000 0.300000 14 2.312927e-06
10.000000 10.100000 0.400000 0 2.312927e-06
10.000000 10.100000 0.400000 1 2.312927e-06
10.000000 10.100000 0.400000 2 2.312927e-06
10.000000 10.100000 0.400000 3 2.312927e-06
10.000000 10.100000 0.400000 4 2.312927e-06
10.000000 10.100000 0.400000 5 2.312927e-06
10.000000 10.100000 0.400000 6 2.312927e-06
10.000000 10.100000 0.400000 7 2.312927e-06
10.000000 10.100000 0.400000 8 2.312927e-06
10.000000 10.100000 0.400000 9 2.312927e-06
10.000000 10.100000 0.400000 10 2.312927e-06
10.000000 10.100000 0.400000 11 2.312927e-06
10.000000 10.100000 0.400000 12 2.312927e-06
10.000000 10.100000 0.400000 13 2.312927e-06
10.000000 10.100000 0.400000 14 2.312927e-06
10.000000 10.100000 0.500000 0 2.312927e-06
