#m_min m_max f_occ survey_ID p_value
10.000000 10.100000 0.100000 0 8.114182e-01
10.000000 10.100000 0.200000 0 2.726265e-09
10.000000 10.100000 0.300000 0 5.394216e-11
10.000000 10.100000 0.400000 0 3.370538e-11
10.000000 10.100000 0.500000 0 3.370538e-11
10.000000 10.100000 0.600000 0 3.370538e-11
10.000000 10.100000 0.700000 0 3.370538e-11
10.000000 10.100000 0.800000 0 3.370538e-11
10.000000 10.100000 0.900000 0 3.370538e-11
10.000000 10.100000 1.000000 0 3.370538e-11
10.000000 10.200000 0.100000 0 5.159370e-09
10.000000 10.200000 0.200000 0 4.266366e-11
10.000000 10.200000 0.300000 0 3.370538e-11
10.000000 10.200000 0.400000 0 3.370538e-11
10.000000 10.200000 0.500000 0 3.370538e-11
10.000000 10.200000 0.600000 0 3.370538e-11
10.000000 10.200000 0.700000 0 3.370538e-11
10.000000 10.200000 0.800000 0 3.370538e-11
10.000000 10.200000 0.900000 0 3.370538e-11
10.000000 10.200000 1.000000 0 3.370538e-11
10.000000 10.300000 0.100000 0 2.199116e-09
10.000000 10.300000 0.200000 0 3.370538e-11
10.000000 10.300000 0.300000 0 3.370538e-11
10.000000 10.300000 0.400000 0 3.370538e-11
10.000000 10.300000 0.500000 0 3.370538e-11
10.000000 10.300000 0.600000 0 3.370538e-11
10.000000 10.300000 0.700000 0 3.370538e-11
10.000000 10.300000 0.800000 0 3.370538e-11
10.000000 10.300000 0.900000 0 3.370538e-11
10.000000 10.300000 1.000000 0 3.370538e-11
10.000000 10.400000 0.100000 0 8.594154e-11
10.000000 10.400000 0.200000 0 3.370538e-11
10.000000 10.400000 0.300000 0 3.370538e-11
10.000000 10.400000 0.400000 0 3.370538e-11
10.000000 10.400000 0.500000 0 3.370538e-11
10.000000 10.400000 0.600000 0 3.370538e-11
10.000000 10.400000 0.700000 0 3.370538e-11
10.000000 10.400000 0.800000 0 3.370538e-11
10.000000 10.400000 0.900000 0 3.370538e-11
10.000000 10.400000 1.000000 0 3.370538e-11
10.000000 10.500000 0.100000 0 4.266366e-11
10.000000 10.500000 0.200000 0 3.370538e-11
10.000000 10.500000 0.300000 0 3.370538e-11
10.000000 10.500000 0.400000 0 3.370538e-11
10.000000 10.500000 0.500000 0 3.370538e-11
10.000000 10.500000 0.600000 0 3.370538e-11
10.000000 10.500000 0.700000 0 3.370538e-11
10.000000 10.500000 0.800000 0 3.370538e-11
