#Correlation function Hayashino et al 2004
# Column 1: theta
# Column 2: Correlation(theta) 
# Column 3: std(correlation)
41.33 0.2674 0.06482
121.2 0.1756 0.03919
201.1 0.1456 0.03015
281.1 0.1367 0.02713
361.0 0.03594 0.02261
440.9 0.004461 0.01809
520.8 -0.01345 0.01959
600.7 -0.007254 0.01809
680.7 -0.04627 0.01809
760.6 -0.06419 0.01959
840.5 -0.03086 0.01809
920.4 -0.08645 0.01809
1000 -0.02900 0.01809
1080 -0.03185 0.01959
1160 0.01053 0.01959
1240 -0.02245 0.02261
1320 0.01238 0.02412
1400 0.06984 0.02864
1482 0.01574 0.03165
